url_path,views_total,views_unique
/Saadbarki/nexora-admin,15,1
/Saadbarki/nexora-admin/actions/runs/22330330878,5,1
/Saadbarki/nexora-admin/actions/workflows/github-repo-stats.yml,5,1
/Saadbarki/nexora-admin/actions,4,1
/Saadbarki/nexora-admin/actions/runs/22421593168,4,1
/Saadbarki/nexora-admin/actions/runs/22330330878/job/64610915008,3,1
/Saadbarki/nexora-admin/actions/runs/22330330878/job/64664328029,2,1
/Saadbarki/nexora-admin/actions/runs/22330330878/usage,2,1
/Saadbarki/nexora-admin/actions/runs/22421593168/job/64959233432,2,1
/Saadbarki/nexora-admin/actions/runs/22421593168/job/64961218827,2,1
